emr_facility_key,state_code,zip_code_3,facility_type,emr_client_key
5571.0,NY,104,C,916.0
5872.0,IN,,C,1001.0
6101.0,TX,,C,1034.0
6353.0,NV,000,O,1102.0
5852.0,TX,,C,1029.0
5800.0,NY,106,O,914.0
5832.0,WA,,C,1002.0
5833.0,GA,,C,1043.0
5928.0,IN,479,C,1041.0
6060.0,VA,,C,982.0
6060.0,VA,,C,1001.0
6138.0,KY,,C,987.0
5845.0,CA,,C,1022.0
6036.0,TN,,C,1005.0
6068.0,WA,,C,1002.0
5867.0,VA,,C,982.0
5867.0,VA,,C,1001.0
5928.0,IN,,C,1001.0
5832.0,WA,,C,1001.0
5833.0,GA,,C,1001.0
6001.0,TN,,C,1005.0
6154.0,NJ,,C,992.0
5633.0,NY,110,O,899.0
5675.0,GA,305,O,953.0
6393.0,FL,338,O,1120.0
5862.0,UT,,C,1001.0
5950.0,FL,,C,998.0
5950.0,FL,,C,1001.0
6000.0,TN,,C,1005.0
6170.0,OK,,C,1027.0
6291.0,MS,,C,1004.0
5836.0,GA,,C,1001.0
6071.0,GA,,C,1000.0
5862.0,UT,,C,1046.0
6023.0,TN,,C,1005.0
6071.0,GA,,C,1001.0
5836.0,GA,,C,1043.0
5891.0,TX,,C,1029.0
5996.0,AL,,C,1013.0
6172.0,OK,,C,1027.0
6398.0,NC,285,O,1119.0
6269.0,MI,483,O,926.0
6402.0,NJ,109,O,1122.0
5892.0,FL,,C,1001.0
6019.0,FL,,C,1028.0
5630.0,NJ,190,O,901.0
5696.0,NJ,190,O,901.0
5954.0,FL,,C,998.0
6108.0,AR,,C,1048.0
6264.0,,,C,1072.0
5892.0,FL,,C,1026.0
5954.0,FL,,C,1001.0
5995.0,AL,,C,1013.0
6019.0,FL,,C,1001.0
6362.0,NV,891,O,1102.0
6105.0,TN,,C,1032.0
5966.0,IL,,C,1042.0
6057.0,MD,,C,1018.0
6132.0,TN,,C,999.0
5948.0,FL,,C,998.0
6006.0,TN,,C,1005.0
5757.0,MN,558,C,932.0
6061.0,FL,,C,1001.0
6110.0,CA,961,C,989.0
6110.0,CA,,C,1001.0
5966.0,IL,,C,1001.0
6061.0,FL,,C,998.0
6359.0,UT,847,O,1096.0
5939.0,FL,,C,1001.0
6013.0,TX,,C,979.0
6091.0,KY,,C,987.0
5841.0,CA,,C,1022.0
5856.0,TX,,C,1001.0
5744.0,IN,478,C,896.0
5939.0,FL,,C,981.0
6079.0,PA,,C,1001.0
6175.0,OK,,C,1027.0
5888.0,UT,,C,1046.0
6013.0,TX,,C,1001.0
6062.0,UT,,C,1046.0
5764.0,WI,498,C,954.0
5841.0,CA,,C,1001.0
5856.0,TX,,C,1036.0
5895.0,IL,,C,991.0
5888.0,UT,,C,1001.0
5937.0,NC,,C,997.0
6079.0,PA,,C,1039.0
5944.0,PA,,C,1001.0
5959.0,IL,,C,1042.0
5620.0,FL,328,C,960.0
5722.0,IN,479,O,906.0
5880.0,NM,,C,1001.0
6093.0,FL,,C,1001.0
5900.0,NJ,,C,1030.0
5955.0,IL,,C,1042.0
5644.0,NY,106,O,914.0
5880.0,NM,,C,1025.0
6020.0,FL,,C,1028.0
6059.0,VA,,C,982.0
6093.0,FL,,C,998.0
5698.0,CA,913,C,898.0
5783.0,CA,945,O,942.0
5944.0,PA,,C,984.0
6032.0,GA,,C,1005.0
5859.0,AR,,C,1020.0
6078.0,PA,,C,985.0
5795.0,WI,498,C,954.0
5848.0,TX,,C,1001.0
6078.0,PA,,C,1001.0
6137.0,TX,,C,979.0
5595.0,CA,945,O,942.0
5859.0,AR,,C,1001.0
5881.0,TX,,C,1001.0
5917.0,GA,,C,1043.0
6003.0,TN,,C,1005.0
5881.0,TX,,C,1036.0
5894.0,MI,,C,1024.0
5896.0,IL,,C,991.0
5917.0,GA,,C,1001.0
5769.0,FL,327,C,960.0
5848.0,TX,,C,1029.0
5876.0,GA,,C,1044.0
6040.0,FL,,C,1007.0
6104.0,GA,,C,1043.0
6171.0,CO,,C,1001.0
6256.0,,,C,1072.0
5943.0,PA,,C,984.0
6151.0,AR,,C,1048.0
6077.0,PA,,C,1001.0
6171.0,CO,,C,1053.0
5804.0,NV,895,O,931.0
6042.0,FL,,C,1007.0
5740.0,,,C,962.0
6077.0,PA,,C,985.0
5882.0,TX,,C,1001.0
6002.0,TN,,C,1005.0
5879.0,NM,,C,1001.0
6026.0,TN,,C,1005.0
6113.0,IA,,C,1001.0
6116.0,UT,,C,1014.0
6123.0,TX,,C,1001.0
6123.0,TX,,C,1036.0
6127.0,TX,,C,994.0
5791.0,ND,585,O,958.0
5847.0,TX,,C,1029.0
5879.0,NM,,C,1025.0
6056.0,MD,,C,1018.0
5649.0,ND,585,O,958.0
5882.0,TX,,C,1029.0
6113.0,IA,,C,1052.0
5847.0,TX,,C,1001.0
6070.0,GA,,C,1000.0
5770.0,FL,336,O,908.0
6134.0,TN,,C,999.0
6311.0,,,H,1113.0
5610.0,TX,784,O,909.0
5853.0,TX,,C,1001.0
5853.0,TX,,C,1029.0
